extra_pad_ratio,N_atoms,E_exact,E_approx,error,error_rel
2,1000,22.38744237,22.38749134,4.90E-05,2.19E-06
3,1000,22.38744237,22.38744142,9.50E-07,4.24E-08
4,1000,22.38744237,22.38744234,3.34E-08,1.49E-09
8,1000,22.38744237,22.38744237,9.95E-14,4.44E-15
2,2829,54.0874548,54.0884771,0.001022303,1.89E-05
3,2829,54.0874548,54.08748334,2.85E-05,5.28E-07
4,2829,54.0874548,54.08745513,3.32E-07,6.14E-09
8,2829,54.0874548,54.0874548,2.91E-13,5.39E-15
2,8000,185.391668,185.3930143,0.001346322,7.26E-06
3,8000,185.391668,185.3917051,3.71E-05,2.00E-07
4,8000,185.391668,185.3916684,4.25E-07,2.29E-09
8,8000,185.391668,185.391668,2.96E-12,1.59E-14
2,22628,501.796956,501.7965459,0.000410162,8.17E-07
3,22628,501.796956,501.7969487,7.31E-06,1.46E-08
4,22628,501.796956,501.796956,3.70E-08,7.37E-11
8,22628,501.796956,501.796956,1.76E-12,3.51E-15
2,64000,1409.075283,1409.075363,7.99E-05,5.67E-08
3,64000,1409.075283,1409.075279,4.09E-06,2.91E-09
4,64000,1409.075283,1409.075283,9.05E-08,6.42E-11
8,64000,1409.075283,1409.075283,2.27E-11,1.61E-14
2,181020,3999.281841,3999.283769,0.001927987,4.82E-07
3,181020,3999.281841,3999.281863,2.17E-05,5.44E-09
4,181020,3999.281841,3999.281841,4.27E-08,1.07E-11
8,181020,3999.281841,3999.281841,3.87E-11,9.67E-15
2,512000,11455.08213,11455.08227,0.000143311,1.25E-08
3,512000,11455.08213,11455.08212,1.10E-06,9.62E-11
4,512000,11455.08213,11455.08213,5.71E-08,4.99E-12
8,512000,11455.08213,11455.08213,1.00E-10,8.73E-15
