preset,k_max,energy_exact,energy_k,error,error_rel
1,1,96.63438269437341,96.01118595172068,0.6231967426527234,0.006449016646835882
1,2,96.63438269437341,96.6324863592377,0.0018963351357115243,1.9623813831450484e-5
1,3,96.63438269437341,96.63438226022679,4.341466208757083e-7,4.492672367440774e-9
1,4,96.63438269437341,96.63438269437052,2.8883562208648073e-12,2.988952938210246e-14
1,5,96.63438269437341,96.63438269437341,0.0,0.0
1,6,96.63438269437341,96.63438269437341,0.0,0.0
1,7,96.63438269437341,96.63438269437341,0.0,0.0
1,8,96.63438269437341,96.63438269437341,0.0,0.0
1,9,96.63438269437341,96.63438269437341,0.0,0.0
1,10,96.63438269437341,96.63438269437341,0.0,0.0
1,11,96.63438269437341,96.63438269437341,0.0,0.0
1,12,96.63438269437341,96.63438269437341,0.0,0.0
1,13,96.63438269437341,96.63438269437341,0.0,0.0
1,14,96.63438269437341,96.63438269437341,0.0,0.0
1,15,96.63438269437341,96.63438269437341,0.0,0.0
1,16,96.63438269437341,96.63438269437341,0.0,0.0
1,17,96.63438269437341,96.63438269437341,0.0,0.0
1,18,96.63438269437341,96.63438269437341,0.0,0.0
1,19,96.63438269437341,96.63438269437341,0.0,0.0
1,20,96.63438269437341,96.63438269437341,0.0,0.0
2,1,124.4380320000621,119.05109560499105,5.386936395071032,0.04329011242373509
2,2,124.4380320000621,124.17272133309646,0.2653106669656182,0.0021320705792380727
2,3,124.4380320000621,124.4337994315722,0.004232568489889843,3.401346374465108e-5
2,4,124.4380320000621,124.43802680873542,5.1913266716496764e-6,4.1718167574741825e-8
2,5,124.4380320000621,124.43803199495929,5.1027981839979475e-9,4.1006741283046014e-11
2,6,124.4380320000621,124.43803200006224,1.5631940186722204e-13,1.256202781052854e-15
2,7,124.4380320000621,124.4380320000621,1.4210854715202004e-14,1.1420025282298674e-16
2,8,124.4380320000621,124.4380320000621,0.0,0.0
2,9,124.4380320000621,124.4380320000621,0.0,0.0
2,10,124.4380320000621,124.4380320000621,0.0,0.0
2,11,124.4380320000621,124.4380320000621,0.0,0.0
2,12,124.4380320000621,124.4380320000621,0.0,0.0
2,13,124.4380320000621,124.4380320000621,0.0,0.0
2,14,124.4380320000621,124.4380320000621,0.0,0.0
2,15,124.4380320000621,124.4380320000621,0.0,0.0
2,16,124.4380320000621,124.4380320000621,0.0,0.0
2,17,124.4380320000621,124.4380320000621,0.0,0.0
2,18,124.4380320000621,124.4380320000621,0.0,0.0
2,19,124.4380320000621,124.4380320000621,0.0,0.0
2,20,124.4380320000621,124.4380320000621,0.0,0.0
3,1,164.66320580651364,145.22615532442433,19.43705048208932,0.11804124902638352
3,2,164.66320580651364,161.1711129444794,3.492092862034255,0.021207487397868437
3,3,164.66320580651364,164.25506146968524,0.4081443368284283,0.0024786614279088885
3,4,164.66320580651364,164.65395500393498,0.009250802578662842,5.6180143787148984e-5
3,5,164.66320580651364,164.66296747971046,0.0002383268031849184,1.4473591839634328e-6
3,6,164.66320580651364,164.6632028989738,2.9075398515487905e-6,1.765749571865663e-8
3,7,164.66320580651364,164.66320579481572,1.1697920854203403e-8,7.104149829287888e-11
3,8,164.66320580651364,164.66320580647601,3.7630343285854906e-11,2.2852915502004847e-13
3,9,164.66320580651364,164.6632058065137,2.842170943040401e-14,1.726051019788886e-16
3,10,164.66320580651364,164.66320580651364,0.0,0.0
3,11,164.66320580651364,164.66320580651364,0.0,0.0
3,12,164.66320580651364,164.66320580651364,0.0,0.0
3,13,164.66320580651364,164.66320580651364,0.0,0.0
3,14,164.66320580651364,164.66320580651364,0.0,0.0
3,15,164.66320580651364,164.66320580651364,0.0,0.0
3,16,164.66320580651364,164.66320580651364,0.0,0.0
3,17,164.66320580651364,164.66320580651364,0.0,0.0
3,18,164.66320580651364,164.66320580651364,0.0,0.0
3,19,164.66320580651364,164.66320580651364,0.0,0.0
3,20,164.66320580651364,164.66320580651364,0.0,0.0
4,1,183.8203574798731,154.88356424813267,28.936793231740424,0.1574188714920151
4,2,183.8203574798731,176.62672143329883,7.193636046574284,0.03913405536360101
4,3,183.8203574798731,182.46437677991634,1.355980699956774,0.0073766622943557455
4,4,183.8203574798731,183.74335206548298,0.07700541439011488,0.00041891668281923765
4,5,183.8203574798731,183.81512520929493,0.005232270578162002,2.8464043101074342e-5
4,6,183.8203574798731,183.82014676876327,0.0002107111098439418,1.1462882171089948e-6
4,7,183.8203574798731,183.8203537811766,3.6986964744301076e-6,2.0121256019399732e-8
4,8,183.8203574798731,183.8203574248633,5.50097922769055e-8,2.9925843378325844e-10
4,9,183.8203574798731,183.82035747943763,4.354774318926502e-10,2.3690381079817645e-12
4,10,183.8203574798731,183.82035747987044,2.6432189770275727e-12,1.4379359355325945e-14
4,11,183.8203574798731,183.82035747987305,2.842170943040401e-14,1.5461676726156928e-16
4,12,183.8203574798731,183.8203574798731,0.0,0.0
4,13,183.8203574798731,183.8203574798731,0.0,0.0
4,14,183.8203574798731,183.8203574798731,0.0,0.0
4,15,183.8203574798731,183.8203574798731,0.0,0.0
4,16,183.8203574798731,183.8203574798731,0.0,0.0
4,17,183.8203574798731,183.8203574798731,0.0,0.0
4,18,183.8203574798731,183.8203574798731,0.0,0.0
4,19,183.8203574798731,183.8203574798731,0.0,0.0
4,20,183.8203574798731,183.8203574798731,0.0,0.0
5,1,229.872932462265,173.57021117792573,56.30272128433927,0.244929756110288
5,2,229.872932462265,208.90704869529253,20.965883766972468,0.0912064049577222
5,3,229.872932462265,223.42089677106185,6.452035691203179,0.028067835660739737
5,4,229.872932462265,228.92860483890894,0.9443276233560596,0.0041080418352912275
5,5,229.872932462265,229.70768798876668,0.1652444734983476,0.0007188513746631455
5,6,229.872932462265,229.8501964710498,0.02273599121522807,9.890677850451277e-5
5,7,229.872932462265,229.87100281629625,0.0019296459687438983,8.394402716642861e-6
5,8,229.872932462265,229.87278927110697,0.0001431911580311862,6.229143923010243e-7
5,9,229.872932462265,229.87292484058435,7.621680651936913e-6,3.315605961214271e-8
5,10,229.872932462265,229.87293220782772,2.5443728191021364e-7,1.1068605563292279e-9
5,11,229.872932462265,229.87293245263282,9.632174169382779e-9,4.190216771591391e-11
5,12,229.872932462265,229.872932462121,1.439843799744267e-10,6.263650897569795e-13
5,13,229.872932462265,229.87293246226244,2.5863755581667647e-12,1.125132711565044e-14
5,14,229.872932462265,229.872932462265,2.842170943040401e-14,1.2364095731484002e-16
5,15,229.872932462265,229.87293246226506,2.842170943040401e-14,1.2364095731484002e-16
5,16,229.872932462265,229.87293246226506,2.842170943040401e-14,1.2364095731484002e-16
5,17,229.872932462265,229.87293246226506,2.842170943040401e-14,1.2364095731484002e-16
5,18,229.872932462265,229.87293246226506,2.842170943040401e-14,1.2364095731484002e-16
5,19,229.872932462265,229.87293246226506,2.842170943040401e-14,1.2364095731484002e-16
5,20,229.872932462265,229.87293246226506,2.842170943040401e-14,1.2364095731484002e-16
6,1,293.043105394439,191.23174783341426,101.81135756102478,0.34742792335614125
6,2,293.043105394439,242.76245892364653,50.280646470792504,0.1715810593909529
6,3,293.043105394439,271.55895373150133,21.484151662937705,0.073313963944041
6,4,293.043105394439,287.258313889311,5.784791505128027,0.019740411559390342
6,5,293.043105394439,291.2672982278365,1.7758071666025614,0.0060598837983657965
6,6,293.043105394439,292.54888571207476,0.4942196823642746,0.0016865084803788504
6,7,293.043105394439,292.93838683795894,0.1047185564800941,0.00035734864445673224
6,8,293.043105394439,293.023167596332,0.01993779810706542,6.803708307768899e-5
6,9,293.043105394439,293.03981787810073,0.0032875163383039308,1.1218541838337742e-5
6,10,293.043105394439,293.0426838574784,0.0004215369606583863,1.438481072915854e-6
6,11,293.043105394439,293.04304744521687,5.7949222167508196e-5,1.9774982281022428e-7
6,12,293.043105394439,293.0431008963759,4.4980631344060384e-6,1.5349493134641742e-8
6,13,293.043105394439,293.043104982978,4.114610590022494e-7,1.4040973884999567e-9
6,14,293.043105394439,293.0431053665759,2.7863137574968277e-8,9.50820444571259e-11
6,15,293.043105394439,293.04310539307374,1.3652936559083173e-9,4.659019887434711e-12
6,16,293.043105394439,293.0431053943662,7.284484127012547e-11,2.485806351665417e-13
6,17,293.043105394439,293.0431053944364,2.6432189770275727e-12,9.019898193713765e-15
6,18,293.043105394439,293.0431053944392,1.4210854715202004e-13,4.849407631028906e-16
6,19,293.043105394439,293.04310539443907,2.842170943040401e-14,9.698815262057812e-17
6,20,293.043105394439,293.04310539443907,2.842170943040401e-14,9.698815262057812e-17
