k_max,energy_exact,error,error_rel,M_mid
3,166.05167919834437,-10.94667616906034,-0.0373551739233926,1
6,166.05167919834437,-0.09646504299405478,-0.00032918379998810016,1
9,166.05167919834437,-0.00015426575615151705,-5.264268406652112e-7,1
12,166.05167919834437,-2.785213837341871e-8,-9.50445100420617e-11,1
3,132.8394786731502,-4.890499317274887,-0.016688668756400956,2
6,132.8394786731502,-0.012376828228525483,-4.223552098885296e-5,2
9,132.8394786731502,-2.9106885506280378e-6,-9.932629353999715e-9,2
12,132.8394786731502,-3.501554601825774e-11,-1.194894040285522e-13,2
3,104.58856911741812,-1.8377278519203202,-0.006271186109110875,3
6,104.58856911741812,-0.0009017561738460245,-3.0772134107446454e-6,3
9,104.58856911741812,-1.6040431205510686e-8,-5.473744616485721e-11,3
12,104.58856911741812,2.842170943040401e-14,9.698815262057809e-17,3
3,80.76978776974113,-0.5479514792668851,-0.0018698664775932427,4
6,80.76978776974113,-3.0430296789063505e-5,-1.0384239120078941e-7,4
9,80.76978776974113,-1.7905676941154525e-11,-6.11025361509642e-14,4
12,80.76978776974113,0.0,0.0,4
3,60.89715540159787,-0.11939721047450291,-0.0004074390704868931,5
6,60.89715540159787,-3.6133155845163856e-7,-1.2330321096115962e-9,5
9,60.89715540159787,2.1316282072803006e-14,7.274111446543357e-17,5
12,60.89715540159787,0.0,0.0,5
3,44.552064576089734,-0.016957736587656314,-5.786772073968785e-5,6
6,44.552064576089734,-1.0553407037150464e-9,-3.6013155890309955e-12,6
9,44.552064576089734,0.0,0.0,6
12,44.552064576089734,0.0,0.0,6
3,31.394013006869763,-0.0013448560645272778,-4.589277276177809e-6,7
6,31.394013006869763,-7.744915819785092e-13,-2.642927158910753e-15,7
9,31.394013006869763,0.0,0.0,7
12,31.394013006869763,0.0,0.0,7
3,21.120241307656602,-4.855877519105434e-5,-1.657052300401121e-7,8
6,21.120241307656602,0.0,0.0,8
9,21.120241307656602,0.0,0.0,8
12,21.120241307656602,0.0,0.0,8
3,13.414095784168726,-6.123395213109006e-7,-2.089588562360767e-9,9
6,13.414095784168726,0.0,0.0,9
9,13.414095784168726,0.0,0.0,9
12,13.414095784168726,0.0,0.0,9
3,7.924306232084737,-1.9150911967358297e-9,-6.535185989645097e-12,10
6,7.924306232084737,0.0,0.0,10
9,7.924306232084737,0.0,0.0,10
12,7.924306232084737,0.0,0.0,10
3,4.267930443436449,-9.823253321883385e-13,-3.3521530249487304e-15,11
6,4.267930443436449,0.0,0.0,11
9,4.267930443436449,0.0,0.0,11
12,4.267930443436449,0.0,0.0,11
3,2.039781213039572,-8.881784197001252e-16,-3.0308797693930653e-18,12
6,2.039781213039572,0.0,0.0,12
9,2.039781213039572,0.0,0.0,12
12,2.039781213039572,0.0,0.0,12
3,0.8322927794714696,0.0,0.0,13
6,0.8322927794714696,0.0,0.0,13
9,0.8322927794714696,0.0,0.0,13
12,0.8322927794714696,0.0,0.0,13
3,0.2735569072885153,0.0,0.0,14
6,0.2735569072885153,0.0,0.0,14
9,0.2735569072885153,0.0,0.0,14
12,0.2735569072885153,0.0,0.0,14
3,0.06649274125669909,0.0,0.0,15
6,0.06649274125669909,0.0,0.0,15
9,0.06649274125669909,0.0,0.0,15
12,0.06649274125669909,0.0,0.0,15
