w,gamma,E_exact,E_thin,error_rel
1,100,279.15475971718234,279.12837977358515,9.448905715697922e-5
2,100,279.15475971718234,279.15445326479295,1.0976671436309987e-6
3,100,279.15475971718234,279.1547391828267,7.355102553950592e-8
4,100,279.15475971718234,279.15475784005224,6.723602456982134e-9
5,100,279.15475971718234,279.15475955071355,5.962666054220027e-10
6,100,279.15475971718234,279.1547597026881,5.191614976132535e-11
7,100,279.15475971718234,279.15475971589996,4.593322503737474e-12
8,100,279.15475971718234,279.1547597170668,4.139283976107396e-13
9,100,279.15475971718234,279.1547597171734,3.1965941182924797e-14
10,100,279.15475971718234,279.1547597171842,6.718955790041518e-15
11,100,279.15475971718234,279.1547597171845,7.736979394593264e-15
12,100,279.15475971718234,279.1547597171848,8.755002999145008e-15
13,100,279.15475971718234,279.1547597171864,1.445593518463478e-14
14,100,279.15475971718234,279.15475971718377,5.090118022758726e-15
15,100,279.15475971718234,279.1547597171842,6.718955790041518e-15
16,100,279.15475971718234,279.1547597171826,1.0180236045517452e-15
1,500,295.955350846526,295.99733266268726,0.00014185160531898148
2,500,295.955350846526,295.95523809578486,3.8097145611697037e-7
3,500,295.955350846526,295.9553340178355,5.686216033111949e-8
4,500,295.955350846526,295.9553493222004,5.15051650474773e-9
5,500,295.955350846526,295.95535072095635,4.2428510551563384e-10
6,500,295.955350846526,295.9553508364914,3.3905816296988223e-11
7,500,295.955350846526,295.9553508457423,2.6480305968162908e-12
8,500,295.955350846526,295.95535084646866,1.9379581288080348e-13
9,500,295.955350846526,295.9553508465241,6.5302850722966486e-15
10,500,295.955350846526,295.9553508465286,8.643024360392624e-15
11,500,295.955350846526,295.9553508465288,9.411293192427522e-15
12,500,295.955350846526,295.95535084652914,1.0563696440479872e-14
13,500,295.955350846526,295.95535084653096,1.670984709675907e-14
14,500,295.955350846526,295.95535084652744,4.801680200218124e-15
15,500,295.955350846526,295.9553508465285,8.450957152383898e-15
16,500,295.955350846526,295.955350846526,0.0
1,1000,258.7378007882928,258.7455365788059,2.98980705449954e-5
2,1000,258.7378007882928,258.7378731948039,2.7984405381106807e-7
3,1000,258.7378007882928,258.73780463170203,1.485439913673158e-8
4,1000,258.7378007882928,258.7378013031665,1.989936298642529e-9
5,1000,258.7378007882928,258.7378008473127,2.2810610329903562e-10
6,1000,258.7378007882928,258.73780079397875,2.1975574527704653e-11
7,1000,258.7378007882928,258.73780078878303,1.8946430472160286e-12
8,1000,258.7378007882928,258.73780078833215,1.520284077775385e-13
9,1000,258.7378007882928,258.7378007882972,1.691645577871454e-14
10,1000,258.7378007882928,258.7378007882954,9.886240390157849e-15
11,1000,258.7378007882928,258.737800788295,8.348380773911073e-15
12,1000,258.7378007882928,258.7378007882949,8.128686543018676e-15
13,1000,258.7378007882928,258.7378007882967,1.4939207700682972e-14
14,1000,258.7378007882928,258.73780078829407,4.833273079632726e-15
15,1000,258.7378007882928,258.73780078829475,7.469603850341486e-15
16,1000,258.7378007882928,258.73780078829265,6.5908269267719e-16
