Q_0,gamma,E_exact,E_fgt,error_rel
1,100,0.030411464996059536,0.0,1.0
2,100,0.030411464996059536,0.030131978400938637,0.009190172034037589
3,100,0.030411464996059536,0.030048352329317577,0.011939992591248338
4,100,0.030411464996059536,0.03041277970101397,4.3230569609331265e-5
5,100,0.030411464996059536,0.030410781602413336,2.2471579264229478e-5
6,100,0.030411464996059536,0.030411474945573093,3.27163244456612e-7
7,100,0.030411464996059536,0.030411469799479198,1.5794765765632825e-7
8,100,0.030411464996059536,0.030411464973992837,7.256046088289771e-10
9,100,0.030411464996059536,0.030411465001123007,1.664987358187768e-10
10,100,0.030411464996059536,0.030411464996103872,1.457873292350761e-12
11,100,0.030411464996059536,0.03041146499605898,1.825336307818466e-14
12,100,0.030411464996059536,0.030411464996059852,1.0381600250717524e-14
13,100,0.030411464996059536,0.03041146499605955,4.563340769546165e-16
14,100,0.030411464996059536,0.030411464996059498,1.2549187116251952e-15
15,100,0.030411464996059536,0.030411464996059737,6.616844115841938e-15
16,100,0.030411464996059536,0.0304114649960593,7.75767930822848e-15
1,500,0.0005254852391897016,0.0,1.0
2,500,0.0005254852391897016,0.0005253290669141941,0.00029719631278003804
3,500,0.0005254852391897016,0.0005254122364299067,0.00013892447275477298
4,500,0.0005254852391897016,0.0005254852149815496,4.6068186450674394e-8
5,500,0.0005254852391897016,0.0005254852116143018,5.247606916026842e-8
6,500,0.0005254852391897016,0.0005254852392513236,1.1726692843182251e-10
7,500,0.0005254852391897016,0.0005254852391849888,8.968491694699447e-12
8,500,0.0005254852391897016,0.0005254852391896979,7.015016049042541e-15
9,500,0.0005254852391897016,0.0005254852391897019,6.18972004327283e-16
10,500,0.0005254852391897016,0.000525485239189702,8.252960057697107e-16
11,500,0.0005254852391897016,0.0005254852391897056,7.633988053369824e-15
12,500,0.0005254852391897016,0.0005254852391897047,5.983396041830403e-15
13,500,0.0005254852391897016,0.000525485239189699,4.951776034618264e-15
14,500,0.0005254852391897016,0.0005254852391897,3.094860021636415e-15
15,500,0.0005254852391897016,0.0005254852391896939,1.4649004102412364e-14
16,500,0.0005254852391897016,0.0005254852391897067,9.697228067794101e-15
1,1000,0.0009864339577972327,0.0,1.0
2,1000,0.0009864339577972327,0.0009864351632444123,1.2220252253552857e-6
3,1000,0.0009864339577972327,0.0009863740137931584,6.07683906261275e-5
4,1000,0.0009864339577972327,0.000986433957907173,1.1145223440997353e-10
5,1000,0.0009864339577972327,0.0009864339543760338,3.468249287276751e-9
6,1000,0.0009864339577972327,0.0009864339577973218,9.034707075304062e-14
7,1000,0.0009864339577972327,0.0009864339577971804,5.297723613499462e-14
8,1000,0.0009864339577972327,0.0009864339577972323,4.396451131534823e-16
9,1000,0.0009864339577972327,0.0009864339577972316,1.0991127828837058e-15
10,1000,0.0009864339577972327,0.0009864339577972327,0.0
11,1000,0.0009864339577972327,0.0009864339577972342,1.5387578960371882e-15
12,1000,0.0009864339577972327,0.0009864339577972323,4.396451131534823e-16
13,1000,0.0009864339577972327,0.0009864339577972316,1.0991127828837058e-15
14,1000,0.0009864339577972327,0.000986433957797234,1.3189353394604469e-15
15,1000,0.0009864339577972327,0.000986433957797231,1.7585804526139293e-15
16,1000,0.0009864339577972327,0.0009864339577972372,4.6162736881115645e-15
